V002,V024,V025,V106,V190,V201,V212,V221,V228,V312,V360,V384B,V457,V463X,V701,M18,S720,Zone
96,7,1,3,1,1,27,13,0,5,7,1,2,0,3,0.5,0,Northern Zone
3,7,1,2,1,2,19,24,0,5,1,1,3,0,2,0.5,0,Northern Zone
92,7,1,0,0.75,2,18,23,0,2,2,1,3,0,3,0.75,0,Northern Zone
44,7,1,0,0.75,3,19,11,1,5,3,1,3,0,2,0.5,0,Northern Zone
11,7,1,3,1,3,25,9,0,13,2,1,4,0,3,0,0,Northern Zone
48,7,1,0,0.75,4,19,36,1,6,3,0,4,0,0,0.5,0,Northern Zone
53,7,1,3,0.75,2,27,15,0,9,2,1,4,0,3,0.5,0,Northern Zone
75,7,1,2,1,3,18,18,1,0,2,1,4,0,2,0.5,0,Northern Zone
56,7,1,2,0.25,3,22,9,0,5,7,1,3,0,1,0.5,0,Northern Zone
32,7,1,3,0.75,1,29,16,0,0,1,1,3,0,2,0.5,0,Northern Zone
90,7,1,2,1,2,22,22,0,9,3,1,4,0,3,0.5,0,Northern Zone
1,7,1,3,1,2,25,21,0,5,2,1,2,0,2,0.5,0,Northern Zone
94,7,1,2,1,2,21,14,0,5,2,1,9,0,2,0.5,0,Northern Zone
46,7,1,2,0.75,2,20,33,0,8,18,0,9,0,1,0.5,0,Northern Zone
81,7,1,3,1,2,22,30,0,0,3,1,4,0,3,0.5,0,Northern Zone
37,7,1,0,1,2,20,10,0,5,7,1,2,0,0,0.5,0,Northern Zone
71,7,1,1,0.75,2,20,14,0,5,3,1,1,0,2,0.5,0,Northern Zone
37,7,1,0,1,2,20,10,0,5,7,1,2,0,0,0.5,0,Northern Zone
10,7,1,2,1,2,20,17,1,9,7,1,3,0,1,0.5,0,Northern Zone
14,7,1,1,0.5,3,22,33,1,5,9,0,2,0,1,0.5,0,Northern Zone
81,7,1,2,1,3,20,12,1,2,2,0,2,0,2,0.5,0,Northern Zone
27,7,1,3,1,1,24,19,0,9,1,1,4,0,3,0.5,0,Northern Zone
91,7,1,0,0.5,2,24,38,0,9,2,1,4,0,2,0.5,0,Northern Zone
75,7,1,0,0.5,3,23,96,0,5,2,1,9,0,2,0.5,0,Northern Zone
70,7,1,2,1,1,20,12,0,5,2,0,2,0,3,0.5,0,Northern Zone
96,7,1,0,0.5,2,27,57,0,5,7,1,4,0,0,0.5,0,Northern Zone
19,7,1,3,1,2,23,19,1,2,2,1,4,0,3,0.5,0,Northern Zone
64,7,1,2,0.75,2,19,31,1,1,1,1,3,0,2,0.5,0,Northern Zone
